group,region,observable,bin_low,bin_high,last_bin_includes_overflow,raw,sumw,sumw2
data,SR2b,met,110.0,150.0,False,5522,5522.0,5522.0
data,SR2b,met,150.0,200.0,False,1835,1835.0,1835.0
data,SR2b,met,200.0,300.0,True,689,689.0,689.0
data,SR2b,n_bjets,-0.5,0.5,False,0,0.0,0.0
data,SR2b,n_bjets,0.5,1.5,False,0,0.0,0.0
data,SR2b,n_bjets,1.5,2.5,False,35179,35179.0,35179.0
data,SR2b,n_bjets,2.5,3.5,False,1655,1655.0,1655.0
data,SR2b,n_bjets,3.5,4.5,True,111,111.0,111.0
data,PRETAG,electron_pt,25.0,35.0,False,11052,11052.0,11052.0
data,PRETAG,electron_pt,35.0,45.0,False,14253,14253.0,14253.0
data,PRETAG,electron_pt,45.0,60.0,False,17876,17876.0,17876.0
data,PRETAG,electron_pt,60.0,80.0,False,17858,17858.0,17858.0
data,PRETAG,electron_pt,80.0,110.0,False,13584,13584.0,13584.0
data,PRETAG,electron_pt,110.0,150.0,False,7389,7389.0,7389.0
data,PRETAG,electron_pt,150.0,200.0,False,2824,2824.0,2824.0
data,PRETAG,electron_pt,200.0,300.0,True,1381,1381.0,1381.0
data,PRETAG,muon_pt,25.0,35.0,False,13915,13915.0,13915.0
data,PRETAG,muon_pt,35.0,45.0,False,15956,15956.0,15956.0
data,PRETAG,muon_pt,45.0,60.0,False,18906,18906.0,18906.0
data,PRETAG,muon_pt,60.0,80.0,False,16002,16002.0,16002.0
data,PRETAG,muon_pt,80.0,110.0,False,11976,11976.0,11976.0
data,PRETAG,muon_pt,110.0,150.0,False,5972,5972.0,5972.0
data,PRETAG,muon_pt,150.0,200.0,False,2308,2308.0,2308.0
data,PRETAG,muon_pt,200.0,300.0,True,1182,1182.0,1182.0
data,PRETAG,n_jets,1.5,2.5,False,48863,48863.0,48863.0
data,PRETAG,n_jets,2.5,3.5,False,24595,24595.0,24595.0
data,PRETAG,n_jets,3.5,4.5,False,9101,9101.0,9101.0
data,PRETAG,n_jets,4.5,5.5,False,2731,2731.0,2731.0
data,PRETAG,n_jets,5.5,6.5,False,740,740.0,740.0
data,PRETAG,n_jets,6.5,7.5,True,187,187.0,187.0
data,PRETAG,delta_phi,0.0,0.2617993877991494,False,3992,3992.0,3992.0
data,PRETAG,delta_phi,0.2617993877991494,0.5235987755982988,False,4648,4648.0,4648.0
data,PRETAG,delta_phi,0.5235987755982988,0.7853981633974483,False,4758,4758.0,4758.0
data,PRETAG,delta_phi,0.7853981633974483,1.0471975511965976,False,5053,5053.0,5053.0
data,PRETAG,delta_phi,1.0471975511965976,1.308996938995747,False,5606,5606.0,5606.0
data,PRETAG,delta_phi,1.308996938995747,1.5707963267948966,False,6230,6230.0,6230.0
data,PRETAG,delta_phi,1.5707963267948966,1.832595714594046,False,7006,7006.0,7006.0
data,PRETAG,delta_phi,1.832595714594046,2.0943951023931953,False,8019,8019.0,8019.0
data,PRETAG,delta_phi,2.0943951023931953,2.356194490192345,False,9014,9014.0,9014.0
data,PRETAG,delta_phi,2.356194490192345,2.617993877991494,False,10029,10029.0,10029.0
data,PRETAG,delta_phi,2.617993877991494,2.8797932657906435,False,10665,10665.0,10665.0
data,PRETAG,delta_phi,2.8797932657906435,3.141592653589793,False,11197,11197.0,11197.0
data,PRETAG,delta_eta,0.0,0.5,False,23407,23407.0,23407.0
data,PRETAG,delta_eta,0.5,1.0,False,21839,21839.0,21839.0
data,PRETAG,delta_eta,1.0,1.5,False,17370,17370.0,17370.0
data,PRETAG,delta_eta,1.5,2.0,False,11981,11981.0,11981.0
data,PRETAG,delta_eta,2.0,2.5,False,6702,6702.0,6702.0
data,PRETAG,delta_eta,2.5,3.0,False,3167,3167.0,3167.0
data,PRETAG,delta_eta,3.0,3.5,False,1262,1262.0,1262.0
data,PRETAG,delta_eta,3.5,4.0,False,388,388.0,388.0
data,PRETAG,delta_eta,4.0,4.5,False,94,94.0,94.0
data,PRETAG,delta_eta,4.5,5.0,False,7,7.0,7.0
data,PRETAG,m_emu,0.0,25.0,False,1626,1626.0,1626.0
data,PRETAG,m_emu,25.0,50.0,False,6447,6447.0,6447.0
data,PRETAG,m_emu,50.0,75.0,False,10852,10852.0,10852.0
data,PRETAG,m_emu,75.0,100.0,False,14070,14070.0,14070.0
data,PRETAG,m_emu,100.0,125.0,False,13258,13258.0,13258.0
data,PRETAG,m_emu,125.0,150.0,False,10847,10847.0,10847.0
data,PRETAG,m_emu,150.0,200.0,False,14053,14053.0,14053.0
data,PRETAG,m_emu,200.0,300.0,False,10603,10603.0,10603.0
data,PRETAG,m_emu,300.0,450.0,True,4461,4461.0,4461.0
data,PRETAG,met,30.0,45.0,False,12029,12029.0,12029.0
data,PRETAG,met,45.0,60.0,False,13993,13993.0,13993.0
data,PRETAG,met,60.0,80.0,False,18918,18918.0,18918.0
data,PRETAG,met,80.0,110.0,False,21468,21468.0,21468.0
data,PRETAG,met,110.0,150.0,False,13208,13208.0,13208.0
data,PRETAG,met,150.0,200.0,False,4608,4608.0,4608.0
data,PRETAG,met,200.0,300.0,True,1993,1993.0,1993.0
data,PRETAG,n_bjets,-0.5,0.5,False,10999,10999.0,10999.0
data,PRETAG,n_bjets,0.5,1.5,False,38273,38273.0,38273.0
data,PRETAG,n_bjets,1.5,2.5,False,35179,35179.0,35179.0
data,PRETAG,n_bjets,2.5,3.5,False,1655,1655.0,1655.0
data,PRETAG,n_bjets,3.5,4.5,True,111,111.0,111.0
data,ZEROb,electron_pt,25.0,35.0,False,1449,1449.0,1449.0
data,ZEROb,electron_pt,35.0,45.0,False,1737,1737.0,1737.0
data,ZEROb,electron_pt,45.0,60.0,False,2092,2092.0,2092.0
data,ZEROb,electron_pt,60.0,80.0,False,2188,2188.0,2188.0
data,ZEROb,electron_pt,80.0,110.0,False,1748,1748.0,1748.0
data,ZEROb,electron_pt,110.0,150.0,False,1075,1075.0,1075.0
data,ZEROb,electron_pt,150.0,200.0,False,442,442.0,442.0
data,ZEROb,electron_pt,200.0,300.0,True,268,268.0,268.0
data,ZEROb,muon_pt,25.0,35.0,False,1767,1767.0,1767.0
data,ZEROb,muon_pt,35.0,45.0,False,1958,1958.0,1958.0
data,ZEROb,muon_pt,45.0,60.0,False,2259,2259.0,2259.0
data,ZEROb,muon_pt,60.0,80.0,False,2029,2029.0,2029.0
data,ZEROb,muon_pt,80.0,110.0,False,1497,1497.0,1497.0
data,ZEROb,muon_pt,110.0,150.0,False,893,893.0,893.0
data,ZEROb,muon_pt,150.0,200.0,False,351,351.0,351.0
data,ZEROb,muon_pt,200.0,300.0,True,245,245.0,245.0
data,ZEROb,n_jets,1.5,2.5,False,7462,7462.0,7462.0
data,ZEROb,n_jets,2.5,3.5,False,2602,2602.0,2602.0
data,ZEROb,n_jets,3.5,4.5,False,702,702.0,702.0
data,ZEROb,n_jets,4.5,5.5,False,174,174.0,174.0
data,ZEROb,n_jets,5.5,6.5,False,54,54.0,54.0
data,ZEROb,n_jets,6.5,7.5,True,5,5.0,5.0
data,ZEROb,delta_phi,0.0,0.2617993877991494,False,562,562.0,562.0
data,ZEROb,delta_phi,0.2617993877991494,0.5235987755982988,False,665,665.0,665.0
data,ZEROb,delta_phi,0.5235987755982988,0.7853981633974483,False,662,662.0,662.0
data,ZEROb,delta_phi,0.7853981633974483,1.0471975511965976,False,725,725.0,725.0
data,ZEROb,delta_phi,1.0471975511965976,1.308996938995747,False,742,742.0,742.0
data,ZEROb,delta_phi,1.308996938995747,1.5707963267948966,False,820,820.0,820.0
data,ZEROb,delta_phi,1.5707963267948966,1.832595714594046,False,898,898.0,898.0
data,ZEROb,delta_phi,1.832595714594046,2.0943951023931953,False,967,967.0,967.0
data,ZEROb,delta_phi,2.0943951023931953,2.356194490192345,False,1070,1070.0,1070.0
data,ZEROb,delta_phi,2.356194490192345,2.617993877991494,False,1211,1211.0,1211.0
data,ZEROb,delta_phi,2.617993877991494,2.8797932657906435,False,1338,1338.0,1338.0
data,ZEROb,delta_phi,2.8797932657906435,3.141592653589793,False,1339,1339.0,1339.0
data,ZEROb,delta_eta,0.0,0.5,False,3244,3244.0,3244.0
data,ZEROb,delta_eta,0.5,1.0,False,2767,2767.0,2767.0
data,ZEROb,delta_eta,1.0,1.5,False,2192,2192.0,2192.0
data,ZEROb,delta_eta,1.5,2.0,False,1392,1392.0,1392.0
data,ZEROb,delta_eta,2.0,2.5,False,827,827.0,827.0
data,ZEROb,delta_eta,2.5,3.0,False,347,347.0,347.0
data,ZEROb,delta_eta,3.0,3.5,False,158,158.0,158.0
data,ZEROb,delta_eta,3.5,4.0,False,54,54.0,54.0
data,ZEROb,delta_eta,4.0,4.5,False,18,18.0,18.0
data,ZEROb,delta_eta,4.5,5.0,False,0,0.0,0.0
data,ZEROb,m_emu,0.0,25.0,False,229,229.0,229.0
data,ZEROb,m_emu,25.0,50.0,False,954,954.0,954.0
data,ZEROb,m_emu,50.0,75.0,False,1507,1507.0,1507.0
data,ZEROb,m_emu,75.0,100.0,False,1716,1716.0,1716.0
data,ZEROb,m_emu,100.0,125.0,False,1503,1503.0,1503.0
data,ZEROb,m_emu,125.0,150.0,False,1273,1273.0,1273.0
data,ZEROb,m_emu,150.0,200.0,False,1703,1703.0,1703.0
data,ZEROb,m_emu,200.0,300.0,False,1409,1409.0,1409.0
data,ZEROb,m_emu,300.0,450.0,True,705,705.0,705.0
data,ZEROb,met,30.0,45.0,False,1559,1559.0,1559.0
data,ZEROb,met,45.0,60.0,False,1798,1798.0,1798.0
data,ZEROb,met,60.0,80.0,False,2277,2277.0,2277.0
data,ZEROb,met,80.0,110.0,False,2634,2634.0,2634.0
